,행자부행정동코드,행정동명,지점번호,지점명칭,검지기 유형,위도,경도,주소,도로명 주소,유입 방향,유출방향
0,11110530,사직동,A-14,새문안로(서울역사박물관),지자기,37.569776,126.971354,서울시 종로구 신문로2가 1-2,0,[새문안로]서울역사박물관->광화문역,[새문안로]광화문역->서울역사박물관
1,11110560,평창동,D-02,평창문화로(북악터널),지자기,37.611547,126.979308,서울시 종로구 평창동 2-15,0,[평창문화로]국민대학교앞->신영동삼거리,[평창문화로]신영동삼거리->국민대학교앞
2,11110615,종로3가동,A-15,종로(종로3가역),지자기,37.570216,126.990832,서울시 종로구 종로3가 137-3,서울시 종로구 종로 116-4,[종로]종로3가->종로2가,[종로]종로2가->종로3가
3,11110650,혜화동,A-06,창경궁로(서울여자대학교),지자기,37.582526,126.998011,서울시 종로구 명륜4가 197-5,0,[창경궁로]성균관대입구->원남동사거리,[창경궁로]원남동사거리->성균관대입구
4,11140540,회현동,A-13,세종대로(서울역),지자기,37.558061,126.973439,서울시 중구 남대문로5가 84-15,서울시 중구 세종대로 16-2,[세종대로]서울역->숭례문,[세종대로]숭례문->서울역
5,11140540,회현동,A-19,칠패로(숭례문),지자기,37.559593,126.972518,서울시 중구 봉래동1가 47-2,0,[칠패로]염천교->숭례문,[칠패로]숭례문->염천교
6,11140540,회현동,A-24,소파로(숭의여자대학교),루프,37.554896,126.983521,서울시 중구 회현동1가 산1-16,서울시 중구 소파로 57,[소파로]백범광장->숭의여대,[소파로]숭의여대->백범광장
7,11140550,명동,A-17,세종대로(시청역2),지자기,37.567496,126.977208,서울시 중구 태평로1가 61-29,0,[세종대로]서울시의회->덕수궁,[세종대로]덕수궁->서울시의회
8,11140580,장충동,A-10,동호로(장충체육관),지자기,37.558563,127.007101,서울시 중구 장충동2가 200-99,서울시 중구 동호로 233-1,[동호로]약수역->장충체육관,[동호로]장충체육관->약수역
9,11140580,장충동,A-11,장충단로(장충단공원),지자기,37.556889,127.004655,서울시 중구 장충동2가 산6-6,0,[장충단로]남산2호터널북단->장충체육관,[장충단로]장충체육관->남산2호터널북단
10,11140605,을지로동,A-18,을지로(을지로3가역),지자기,37.566114,126.989326,서울시 중구 을지로2가 149-10,서울시 중구 을지로 102-2,[을지로]을지로3가역->을지로2가,[을지로]을지로2가->을지로3가역
11,11140670,황학동,A-09,퇴계로(신당역),지자기,37.565712,127.020912,서울시 중구 황학동 710,서울시 중구 퇴계로 443,[퇴계로]상왕십리역->신당역,[퇴계로]신당역->상왕십리역
12,11140615,신당동,D-03,동호로(금호터널),지자기,37.551919,127.012977,서울시 중구 신당동 349-202,0,[동호로]금호역->약수역,[동호로]약수역->금호역
13,11170520,용산2가동,A-22,남산3호터널,루프,37.544496,126.98835,서울시 용산구 용산동2가 5-432,0,[녹사평대로]용암초등학교->남산3호터널북단,[녹사평대로]남산3호터널북단->용암초등학교
14,11170685,한남동,A-20,남산1호터널,루프,37.542406,127.001356,서울시 용산구 한남동 산 10-33,서울시 용산구 이태원로 281,[삼일대로]한남1고가차도->남산1호터널북단,[삼일대로]남산1호터널북단->한남1고가차도
15,11170685,한남동,D-04,서빙고로(한남역),영상,37.527197,127.004697,서울시 용산구 한남동 542-10,0,[서빙고로]한남역->서빙고고가차도,[서빙고로]서빙고고가차도->한남역
16,11200720,송정동,D-07,동일로(군자교),영상,37.553809,127.070504,서울시 성동구 송정동 83,서울시 성동구 동일로 43가길 6,[동일로]군자교동단->화양사거리,[동일로]화양사거리->군자교동단
17,11200790,용답동,D-05,천호대로(군자교),지자기,37.560716,127.068571,서울시 성동구 용답동 224-4,서울시 성동구 천호대로 430-1,[천호대로]군자교서단->장한평역,[천호대로]장한평역->군자교서단
18,11200645,옥수동,C-14,동호대교,영상,37.538207,127.019882,서울시 성동구 옥수동 86,0,[논현로]동호대교남단->동호대교북단,[논현로]동호대교북단->동호대교남단
19,11200645,옥수동,C-15,성수대교,영상,37.536768,127.034972,서울시 성동구 옥수동 484,0,[언주로]성수대교남단->성수대교북단,[언주로]성수대교북단->성수대교남단
20,11200645,옥수동,D-06,뚝섬로(용비교),영상,37.542006,127.020674,서울시 성동구 옥수동 산 1-11 ,0,[뚝섬로]용비교->옥수역,[뚝섬로]옥수역->용비교
21,11215810,광장동,B-03,아차산로(워커힐),지자기,37.550897,127.108955,서울시 광진구 광장동 145-2,0,[아차산로]아차산로구리시계->광나루역,[아차산로]광나루역->아차산로구리시계
22,11290525,성북동,A-04,대사관로(삼청터널),지자기,37.596359,126.984209,서울시 성북구 성북동 산25-148,0,[삼청로]삼청각->삼청공원입구,[삼청로]삼청공원입구->삼청각
23,11380560,구산동,B-34,서오릉로(고양시계),지자기,37.617883,126.90626,서울시 은평구 구산동 304-15,서울시 은평구 서오릉로 267,[서오릉로]서오릉로고양시계->구산사거리,[서오릉로]구산사거리->서오릉로고양시계
