YM_ID|B_EMD_CD|OCR_CNT|DEATH_CNT|INJURY_CNT|ETL_TYPE|ETL_DATE
200706|3020012400|0|0|0|0601|2012-03-21 17:53:44
200708|3020012400|2|0|3|0601|2012-03-21 17:53:44
200710|3020012400|2|1|3|0601|2012-03-21 17:53:44
200712|3020012400|2|0|3|0601|2012-03-21 17:53:44
200702|3020011200|3|1|6|0601|2012-03-21 17:53:44
200704|3020011200|1|0|2|0601|2012-03-21 17:53:44
200706|3020011200|3|0|5|0601|2012-03-21 17:53:44
200708|3020011200|4|0|6|0601|2012-03-21 17:53:44
200710|3020011200|3|0|9|0601|2012-03-21 17:53:44
200712|3020011200|3|0|8|0601|2012-03-21 17:53:44
200702|3020012200|3|0|6|0601|2012-03-21 17:53:44
200704|3020012200|8|0|12|0601|2012-03-21 17:53:44
200706|3020012200|3|0|6|0601|2012-03-21 17:53:44
200708|3020012200|3|0|5|0601|2012-03-21 17:53:44
200710|3020012200|4|0|10|0601|2012-03-21 17:53:44
200712|3020012200|3|0|3|0601|2012-03-21 17:53:44
200702|3020014800|0|0|0|0601|2012-03-21 17:53:44
200704|3020014800|0|0|0|0601|2012-03-21 17:53:44
200706|3020014800|1|1|0|0601|2012-03-21 17:53:44
200708|3020014800|0|0|0|0601|2012-03-21 17:53:44
200710|3020014800|0|0|0|0601|2012-03-21 17:53:44
200712|3020014800|0|0|0|0601|2012-03-21 17:53:44
200702|3020011900|1|0|1|0601|2012-03-21 17:53:44
200704|3020011900|4|0|9|0601|2012-03-21 17:53:44
200706|3020011900|4|0|13|0601|2012-03-21 17:53:44
200708|3020011900|6|1|9|0601|2012-03-21 17:53:44
200710|3020011900|3|0|5|0601|2012-03-21 17:53:44
200712|3020011900|1|1|1|0601|2012-03-21 17:53:44
200702|3020010300|0|0|0|0601|2012-03-21 17:53:44
200704|3020010300|0|0|0|0601|2012-03-21 17:53:44
200706|3020010300|0|0|0|0601|2012-03-21 17:53:44
200708|3020010300|1|0|1|0601|2012-03-21 17:53:44
200710|3020010300|1|0|1|0601|2012-03-21 17:53:44
200712|3020010300|1|0|1|0601|2012-03-21 17:53:44
200702|3020011300|0|0|0|0601|2012-03-21 17:53:44
200704|3020011300|2|0|7|0601|2012-03-21 17:53:44
200706|3020011300|4|1|8|0601|2012-03-21 17:53:44
200708|3020011300|0|0|0|0601|2012-03-21 17:53:44
200710|3020011300|0|0|0|0601|2012-03-21 17:53:44
200712|3020011300|0|0|0|0601|2012-03-21 17:53:44
200702|3020013100|0|0|0|0601|2012-03-21 17:53:44
200704|3020013100|0|0|0|0601|2012-03-21 17:53:44
