사용본거지 시군구,읍면동 (행정동),연료,계,관용_승용,관용_승합,관용_화물,관용_특수,자가용_승용,자가용승합,자가용화물,자가용특수,영업용_승용,영업용승합,영업용화물,영업용특수
서울특별시 종로구,종로구 기타,휘발유,1,0,0,0,0,0,1,0,0,0,0,0,0
,,휘발유,2,0,0,0,0,0,2,0,0,0,0,0,0
,,휘발유,1,0,0,0,0,0,1,0,0,0,0,0,0
,,경유,,0,0,0,0,0,0,1,0,0,0,0,0
,,경유,,0,0,0,0,0,1,0,0,0,0,0,0
,,휘발유,2,0,0,0,0,0,2,0,0,0,0,0,0
,,휘발유,1,0,0,0,0,0,1,0,0,0,0,0,0
,종로구 청운효자동 ,휘발유,"1,971",0,67,18,0,0,"1,881",2,3,0,0,0,0
,,경유,"1,153",2,4,79,14,0,756,65,181,14,0,27,11
,,엘피지,165,0,0,0,0,0,118,13,9,0,19,1,5
,,전기,55,0,19,1,1,0,28,0,3,0,0,1,2
,,하이브리드,206,0,18,0,0,0,188,0,0,0,0,0,0
,,수소,14,0,11,0,0,0,3,0,0,0,0,0,0
,,기타연료,20,0,0,0,0,0,0,0,3,0,0,0,17
,종로구 사직동 ,휘발유,"3,987",1,"1,283",3,0,0,"2,507",1,4,0,187,1,0
,,경유,"3,445",75,61,"1,514",198,13,927,145,394,15,48,14,41
,,엘피지,134,0,0,2,0,0,76,12,26,0,16,1,1
,,전기,146,0,84,0,0,0,47,0,7,0,6,0,2
,,CNG,1,0,0,0,0,0,1,0,0,0,0,0,0
,,하이브리드,364,0,74,0,0,0,263,0,0,0,27,0,0
,종로구 사직동 ,수소,17,0,9,4,0,0,4,0,0,0,0,0,0
,,기타연료,76,10,0,0,3,2,0,1,11,0,0,0,49
,종로구 삼청동 ,휘발유,420,0,10,10,0,0,398,0,2,0,0,0,0
,,경유,276,2,4,6,3,0,165,32,54,0,0,6,4
,,엘피지,36,0,0,0,0,0,25,2,4,0,5,0,0
,,전기,9,0,0,0,0,0,7,0,1,0,0,1,0
,,하이브리드,32,0,1,0,0,0,31,0,0,0,0,0,0
,,기타연료,4,0,0,0,0,0,0,2,2,0,0,0,0
,종로구 부암동 ,휘발유,"1,745",0,0,0,0,0,"1,735",5,4,0,1,0,0
,,경유,"1,033",0,0,0,0,5,767,72,179,0,0,0,10
,,엘피지,146,0,0,0,0,0,107,8,13,0,15,0,3
,,전기,32,0,0,0,0,0,28,0,2,0,0,0,2
,,하이브리드,174,0,0,0,0,0,174,0,0,0,0,0,0
,,수소,2,0,0,0,0,0,2,0,0,0,0,0,0
,,기타연료,8,0,0,0,0,0,0,2,6,0,0,0,0
,종로구 평창동 ,휘발유,"3,896",0,5,0,0,0,"3,881",4,6,0,0,0,0
,,경유,"1,958",0,0,2,0,4,"1,600",108,225,1,0,0,18
,,엘피지,207,0,0,0,0,0,161,14,13,0,18,0,1
,,전기,90,0,0,0,0,0,85,0,4,0,0,0,1
,,CNG,1,0,0,0,0,0,1,0,0,0,0,0,0
,종로구 평창동 ,하이브리드,452,0,0,0,0,0,452,0,0,0,0,0,0
,,수소,5,0,0,0,0,0,5,0,0,0,0,0,0
,,기타연료,20,0,0,0,0,5,0,6,9,0,0,0,0
,종로구 무악동 ,휘발유,"1,459",0,0,0,0,0,"1,456",1,2,0,0,0,0
,,경유,947,0,0,0,0,0,539,30,76,4,0,0,298
,,엘피지,169,0,0,0,0,0,82,3,7,0,9,0,68
,,전기,22,0,0,0,0,0,15,0,0,0,1,0,6
,,하이브리드,189,0,0,0,0,0,189,0,0,0,0,0,0
,,수소,7,0,0,0,0,0,7,0,0,0,0,0,0
,,기타연료,3,0,0,0,0,0,0,1,2,0,0,0,0
,종로구 교남동 ,휘발유,"1,701",0,0,0,0,0,"1,693",1,7,0,0,0,0
,,경유,842,0,0,0,0,2,631,69,122,0,0,13,5
,,엘피지,129,0,0,0,0,0,97,9,10,0,12,0,1
,,전기,41,0,0,0,0,0,33,0,1,0,1,4,2
,,하이브리드,216,0,0,0,0,0,216,0,0,0,0,0,0
,,수소,2,0,0,0,0,0,2,0,0,0,0,0,0
,,기타연료,11,0,0,0,0,2,0,5,4,0,0,0,0
,종로구 가회동 ,휘발유,614,0,2,0,0,0,607,2,3,0,0,0,0
,,경유,504,0,1,4,0,4,260,42,183,0,0,0,10
,,엘피지,54,0,0,2,0,0,29,5,7,0,10,0,1
,종로구 가회동 ,전기,23,0,0,0,0,0,18,0,3,0,0,0,2
,,CNG,1,0,0,0,0,0,1,0,0,0,0,0,0
,,하이브리드,56,0,0,0,0,0,56,0,0,0,0,0,0
,,수소,10,0,0,0,0,0,10,0,0,0,0,0,0
,,기타연료,3,0,0,0,0,1,0,1,1,0,0,0,0
,종로구 종로1.2.3.4가동 ,휘발유,"3,045",0,23,0,0,1,"2,718",7,14,0,282,0,0
,,경유,"2,496",10,8,28,112,6,982,257,575,28,268,74,148
,,엘피지,274,0,0,0,9,0,97,27,24,0,112,0,5
,,전기,132,0,30,0,4,0,39,0,9,0,49,0,1
,,CNG,26,0,0,3,20,0,2,0,0,0,0,1,0
,,하이브리드,296,0,16,0,0,0,216,0,0,0,64,0,0
,,수소,8,0,1,0,0,0,7,0,0,0,0,0,0
,,기타연료,40,0,0,0,0,2,0,3,3,0,0,0,32
,종로구 종로5.6가동 ,휘발유,785,0,1,0,0,0,779,1,4,0,0,0,0
,,경유,759,0,0,1,0,1,366,88,297,1,0,0,5
,,엘피지,122,0,0,0,0,0,70,17,26,0,7,0,2
,,전기,9,0,0,0,0,0,6,0,3,0,0,0,0
,,CNG,1,0,0,0,0,0,1,0,0,0,0,0,0
,,하이브리드,66,0,0,0,0,0,66,0,0,0,0,0,0
,,수소,1,0,0,0,0,0,1,0,0,0,0,0,0
,종로구 종로5.6가동 ,기타연료,6,0,0,0,0,4,0,0,1,0,0,0,1
,종로구 이화동 ,휘발유,917,0,1,0,0,0,911,1,4,0,0,0,0
,,경유,614,0,0,3,0,3,389,66,135,0,0,7,11
,,엘피지,92,0,0,0,0,0,70,4,5,0,9,0,4
,,전기,25,0,0,0,0,0,22,0,2,0,0,0,1
,,CNG,1,0,0,0,0,0,0,1,0,0,0,0,0
,,하이브리드,56,0,0,0,0,0,56,0,0,0,0,0,0
,,수소,3,0,0,0,0,0,3,0,0,0,0,0,0
,,기타연료,6,0,0,0,0,2,0,0,4,0,0,0,0
,종로구 혜화동 ,휘발유,"1,916",0,1,0,0,0,"1,907",3,5,0,0,0,0
,,경유,"1,083",0,0,1,0,1,754,98,201,2,0,11,15
,,엘피지,232,0,0,2,0,0,156,17,16,0,36,0,5
,,전기,28,0,0,0,0,0,27,0,0,0,0,0,1
,,CNG,82,0,0,0,0,0,0,0,0,0,0,82,0
,,하이브리드,157,0,2,0,0,0,155,0,0,0,0,0,0
,,수소,2,0,0,0,0,0,2,0,0,0,0,0,0
,,기타연료,5,0,0,0,0,1,0,2,2,0,0,0,0
,종로구 명륜3가동 ,휘발유,,0,0,0,0,0,5,0,0,0,0,0,0
,,경유,8,0,0,0,0,0,2,2,4,0,0,0,0
,,엘피지,1,0,0,0,0,0,0,1,0,0,0,0,0
,종로구 창신1동 ,휘발유,593,0,0,0,0,0,586,2,5,0,0,0,0
,,경유,481,0,0,0,0,2,277,49,137,1,0,5,10
,,엘피지,86,0,0,0,0,0,49,9,15,0,11,0,2
,,전기,4,0,0,0,0,0,3,0,0,0,1,0,0
,,CNG,1,0,0,0,0,0,1,0,0,0,0,0,0
,,하이브리드,30,0,0,0,0,0,30,0,0,0,0,0,0
,,기타연료,2,0,0,0,0,0,0,0,2,0,0,0,0
,종로구 창신2동 ,휘발유,715,0,1,0,0,0,711,2,1,0,0,0,0
,,경유,547,0,0,0,0,3,351,61,114,1,0,0,17
,,엘피지,121,0,0,0,0,0,80,11,14,0,12,0,4
,,전기,7,0,0,0,0,0,1,0,1,0,1,0,4
,,하이브리드,41,0,0,0,0,0,41,0,0,0,0,0,0
,,수소,1,0,0,0,0,0,1,0,0,0,0,0,0
,,기타연료,,0,0,0,0,0,0,0,1,0,0,0,0
,종로구 창신3동 ,휘발유,827,0,0,0,0,0,824,0,3,0,0,0,0
,,경유,630,0,0,0,0,2,446,46,111,3,0,4,18
,,엘피지,111,0,0,0,0,0,79,5,8,0,16,0,3
,,전기,10,0,0,0,0,0,6,0,1,0,0,2,1
,,CNG,1,0,0,0,0,0,0,0,0,0,0,1,0
,,하이브리드,73,0,0,0,0,0,73,0,0,0,0,0,0
,종로구 창신3동 ,기타연료,5,0,0,0,0,0,0,2,3,0,0,0,0
,종로구 숭인1동 ,휘발유,729,0,0,0,0,0,725,1,3,0,0,0,0
,,경유,575,0,0,0,0,1,389,53,118,0,0,0,14
,,엘피지,107,0,0,0,0,0,67,9,16,0,12,0,3
,,전기,10,0,0,0,0,0,7,0,1,0,0,0,2
,,하이브리드,54,0,0,0,0,0,54,0,0,0,0,0,0
,,기타연료,2,0,0,0,0,1,0,0,1,0,0,0,0
,종로구 숭인2동 ,휘발유,"1,186",0,0,0,0,0,"1,181",2,3,0,0,0,0
,,경유,768,0,0,0,0,2,461,59,227,0,0,0,19
,,엘피지,150,0,0,0,0,0,80,23,28,0,14,0,5
,,전기,11,0,0,0,0,0,4,0,2,0,1,0,4
,,CNG,1,0,0,0,0,0,1,0,0,0,0,0,0
,,하이브리드,65,0,0,0,0,0,65,0,0,0,0,0,0
,,기타연료,4,0,0,0,0,1,0,3,0,0,0,0,0
,중구 명동 ,경유,1,0,0,0,0,0,0,1,0,0,0,0,0
,종로구 기타1,휘발유,124,0,2,0,0,0,108,2,12,0,0,0,0
,,경유,69,0,0,0,0,0,3,23,43,0,0,0,0
,,엘피지,1,0,0,0,0,0,0,0,1,0,0,0,0
,,기타연료,,0,0,0,0,0,1,0,0,0,0,0,0
