집계일자,집계시,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20220401,00,0,1,00,0,1947,68,66,462,107,14,2664,
20220401,00,0,1,00,1,753,23,15,51,2,48,892,
20220401,00,0,1,01,0,19,0,0,7,2,1,29,
20220401,00,0,1,45,0,1,0,0,3,2,0,6,
20220401,00,0,1,02,0,40,0,1,5,0,0,46,
20220401,00,0,1,18,0,40,2,3,11,10,0,66,
20220401,00,0,1,34,0,15,0,0,2,0,0,17,
20220401,00,0,1,28,0,71,1,0,5,1,5,83,
20220401,00,0,1,37,0,11,0,0,13,1,1,26,
20220401,00,0,1,48,0,6,1,0,0,0,1,8,
20220401,00,0,1,49,0,7,0,1,0,0,0,8,
20220401,00,0,1,46,0,2,0,0,0,0,0,2,
20220401,00,0,1,08,0,51,1,2,4,1,0,59,
20220401,00,0,1,08,1,6,0,0,0,0,0,6,
20220401,00,0,1,10,0,68,2,0,2,2,1,75,
20220401,00,0,1,10,1,4,0,0,0,0,0,4,
20220401,00,0,1,11,0,81,3,2,10,0,3,99,
20220401,00,0,1,44,0,52,1,0,9,4,7,73,
20220401,00,0,1,44,1,9,0,0,0,0,1,10,
20220401,00,0,1,26,1,50,2,0,0,1,5,58,
20220401,00,0,1,43,1,16,0,0,1,0,0,17,
20220401,00,0,2,00,0,11279,1210,745,1398,1474,540,16646,
20220401,00,0,2,00,1,4420,235,133,233,251,197,5469,
20220401,00,0,2,01,0,1015,63,116,149,207,23,1573,
20220401,00,0,2,45,0,247,18,36,101,117,6,525,
20220401,00,0,2,02,0,505,56,18,86,137,18,820,
20220401,00,0,2,18,0,325,56,69,87,105,19,661,
20220401,00,0,2,34,0,347,15,20,16,44,12,454,
20220401,00,0,2,28,0,475,20,19,11,8,23,556,
20220401,00,0,2,37,0,70,2,3,18,62,5,160,
20220401,00,0,2,48,0,218,10,1,12,9,14,264,
20220401,00,0,2,49,0,205,22,9,21,30,13,300,
20220401,00,0,2,46,0,24,2,1,8,12,1,48,
20220401,00,0,2,08,0,307,22,8,11,40,14,402,
20220401,00,0,2,08,1,10,0,0,0,0,0,10,
20220401,00,0,2,10,0,587,32,32,28,14,32,725,
20220401,00,0,2,10,1,23,2,1,2,0,2,30,
20220401,00,0,2,11,0,598,50,38,30,34,28,778,
20220401,00,0,2,24,1,7,3,0,0,0,1,11,
20220401,00,0,2,44,0,461,30,29,31,58,27,636,
20220401,00,0,2,44,1,43,1,1,0,0,2,47,
20220401,00,0,2,27,1,262,1,0,0,0,13,276,
20220401,00,0,2,26,1,86,1,0,0,0,5,92,
20220401,00,0,2,43,1,76,2,0,0,0,7,85,
20220401,00,1,1,00,0,2456,95,74,494,115,259,3493,
20220401,00,1,1,00,1,901,28,38,89,34,57,1147,
20220401,00,1,1,01,0,28,3,1,8,3,1,44,
20220401,00,1,1,45,0,7,0,1,6,0,0,14,
20220401,00,1,1,02,0,68,0,3,6,0,4,81,
20220401,00,1,1,18,0,34,2,3,12,4,6,61,
20220401,00,1,1,34,0,17,0,0,2,0,6,25,
20220401,00,1,1,28,0,94,3,0,4,0,10,111,
20220401,00,1,1,37,0,9,0,0,14,2,5,30,
20220401,00,1,1,48,0,10,1,0,0,0,2,13,
20220401,00,1,1,49,0,9,0,0,2,0,1,12,
20220401,00,1,1,46,0,3,0,0,0,0,0,3,
20220401,00,1,1,08,0,96,2,0,4,3,8,113,
20220401,00,1,1,08,1,11,0,0,0,0,0,11,
20220401,00,1,1,10,0,82,3,4,2,1,3,95,
20220401,00,1,1,10,1,9,1,0,0,0,0,10,
20220401,00,1,1,11,0,89,1,2,10,0,15,117,
20220401,00,1,1,24,1,2,0,0,0,0,0,2,
20220401,00,1,1,44,0,81,0,0,10,6,10,107,
20220401,00,1,1,44,1,1,0,0,0,0,0,1,
20220401,00,1,1,26,1,61,2,0,1,0,6,70,
20220401,00,1,1,43,1,73,4,1,7,1,2,88,
20220401,00,1,2,00,0,14793,1119,807,1566,1458,694,20437,
20220401,00,1,2,00,1,5453,260,145,197,239,265,6559,
20220401,00,1,2,01,0,1047,60,117,148,206,28,1606,
20220401,00,1,2,45,0,263,21,35,107,119,7,552,
20220401,00,1,2,02,0,634,57,26,97,139,16,969,
20220401,00,1,2,18,0,355,42,48,88,120,26,679,
20220401,00,1,2,34,0,398,16,21,13,39,13,500,
20220401,00,1,2,28,0,555,13,16,12,5,29,630,
20220401,00,1,2,37,0,85,0,6,14,27,6,138,
20220401,00,1,2,48,0,227,9,2,11,12,15,276,
20220401,00,1,2,49,0,250,20,8,18,27,17,340,
20220401,00,1,2,46,0,22,3,2,9,10,3,49,
20220401,00,1,2,08,0,392,14,14,11,35,26,492,
20220401,00,1,2,08,1,5,0,0,0,0,0,5,
20220401,00,1,2,10,0,653,26,36,27,13,36,791,
20220401,00,1,2,10,1,68,3,1,5,1,7,85,
20220401,00,1,2,11,0,710,46,35,32,34,39,896,
20220401,00,1,2,44,0,485,26,33,20,56,28,648,
20220401,00,1,2,44,1,23,0,0,0,0,1,24,
20220401,00,1,2,27,1,262,2,3,4,0,17,288,
20220401,00,1,2,26,1,207,0,0,0,0,22,229,
20220401,00,1,2,43,1,444,21,4,16,30,15,530,
20220401,01,0,1,00,0,1285,61,88,404,93,16,1947,
20220401,01,0,1,00,1,520,25,16,49,13,33,656,
20220401,01,0,1,01,0,15,2,2,9,0,0,28,
20220401,01,0,1,45,0,4,0,2,1,0,0,7,
20220401,01,0,1,02,0,35,2,2,6,1,0,46,
20220401,01,0,1,18,0,21,6,4,4,1,0,36,
20220401,01,0,1,34,0,13,1,0,8,0,0,22,
20220401,01,0,1,28,0,38,4,1,4,1,2,50,
20220401,01,0,1,37,0,17,0,1,12,3,0,33,
20220401,01,0,1,48,0,2,0,0,2,0,0,4,
20220401,01,0,1,49,0,8,0,1,1,0,0,10,
20220401,01,0,1,46,0,2,0,0,0,0,1,3,
20220401,01,0,1,08,0,39,1,3,4,5,1,53,
20220401,01,0,1,08,1,4,1,0,0,0,0,5,
20220401,01,0,1,10,0,50,2,4,2,1,0,59,
20220401,01,0,1,10,1,3,0,0,0,0,1,4,
20220401,01,0,1,11,0,75,1,8,7,2,2,95,
20220401,01,0,1,44,0,28,3,4,11,2,7,55,
20220401,01,0,1,44,1,5,0,0,0,0,1,6,
20220401,01,0,1,26,1,30,1,2,0,0,3,36,
20220401,01,0,1,43,1,7,1,0,2,2,0,12,
20220401,01,0,2,00,0,6868,1338,671,1422,1519,231,12049,
20220401,01,0,2,00,1,2646,269,84,221,263,115,3598,
20220401,01,0,2,01,0,722,53,68,248,218,10,1319,
20220401,01,0,2,45,0,137,19,44,89,104,6,399,
20220401,01,0,2,02,0,344,62,14,66,101,13,600,
20220401,01,0,2,18,0,192,39,70,75,127,9,512,
20220401,01,0,2,34,0,209,20,23,20,43,7,322,
20220401,01,0,2,28,0,219,23,11,35,5,11,304,
20220401,01,0,2,37,0,42,9,3,5,52,2,113,
20220401,01,0,2,48,0,121,14,2,11,12,1,161,
20220401,01,0,2,49,0,143,18,7,22,15,8,213,
20220401,01,0,2,46,0,11,3,0,9,8,1,32,
20220401,01,0,2,08,0,200,9,7,11,43,8,278,
20220401,01,0,2,08,1,4,0,0,0,0,0,4,
20220401,01,0,2,10,0,386,33,23,45,30,21,538,
20220401,01,0,2,10,1,20,0,1,1,2,2,26,
20220401,01,0,2,11,0,324,73,59,31,36,23,546,
20220401,01,0,2,24,1,13,2,0,0,0,1,16,
20220401,01,0,2,44,0,273,26,14,28,53,16,410,
20220401,01,0,2,44,1,32,0,0,0,0,0,32,
20220401,01,0,2,27,1,110,1,3,0,0,10,124,
20220401,01,0,2,26,1,49,0,0,0,0,6,55,
20220401,01,0,2,43,1,48,3,0,0,0,2,53,
20220401,01,1,1,00,0,1570,85,68,445,108,160,2436,
20220401,01,1,1,00,1,572,13,17,78,26,37,743,
20220401,01,1,1,01,0,12,1,3,8,0,1,25,
20220401,01,1,1,45,0,6,0,0,4,1,1,12,
20220401,01,1,1,02,0,44,1,0,6,3,5,59,
20220401,01,1,1,18,0,27,6,1,9,2,5,50,
20220401,01,1,1,34,0,25,1,0,1,0,2,29,
20220401,01,1,1,28,0,46,3,0,2,1,8,60,
20220401,01,1,1,37,0,16,0,1,14,0,2,33,
20220401,01,1,1,48,0,7,0,1,1,0,1,10,
20220401,01,1,1,49,0,10,0,0,1,0,1,12,
20220401,01,1,1,46,0,2,0,0,2,0,1,5,
20220401,01,1,1,08,0,41,0,3,10,1,4,59,
20220401,01,1,1,08,1,3,0,0,0,0,0,3,
20220401,01,1,1,10,0,45,2,3,1,1,4,56,
20220401,01,1,1,10,1,3,0,0,0,0,0,3,
20220401,01,1,1,11,0,48,3,7,10,3,4,75,
20220401,01,1,1,24,1,7,0,0,0,0,0,7,
20220401,01,1,1,44,0,34,3,1,9,5,6,58,
20220401,01,1,1,44,1,2,0,0,0,0,1,3,
20220401,01,1,1,26,1,40,1,1,0,0,3,45,
20220401,01,1,1,43,1,39,1,0,5,2,1,48,
20220401,01,1,2,00,0,8566,1291,681,1522,1470,335,13865,
20220401,01,1,2,00,1,3024,250,85,269,262,165,4055,
20220401,01,1,2,01,0,723,53,66,215,212,9,1278,
20220401,01,1,2,45,0,147,16,40,89,100,6,398,
20220401,01,1,2,02,0,408,57,15,73,105,16,674,
20220401,01,1,2,18,0,231,34,54,66,115,9,509,
20220401,01,1,2,34,0,263,14,21,14,39,14,365,
20220401,01,1,2,28,0,263,29,12,32,11,17,364,
20220401,01,1,2,37,0,46,6,3,12,28,4,99,
20220401,01,1,2,48,0,135,20,4,9,9,0,177,
20220401,01,1,2,49,0,149,18,6,22,13,8,216,
20220401,01,1,2,46,0,15,3,2,9,8,0,37,
20220401,01,1,2,08,0,233,16,11,10,27,12,309,
20220401,01,1,2,08,1,4,0,1,0,1,0,6,
20220401,01,1,2,10,0,377,31,17,37,18,28,508,
20220401,01,1,2,10,1,47,2,1,3,1,1,55,
20220401,01,1,2,11,0,410,55,55,35,25,19,599,
20220401,01,1,2,44,0,314,27,13,27,44,22,447,
20220401,01,1,2,44,1,18,2,0,0,0,1,21,
20220401,01,1,2,27,1,112,2,2,0,0,8,124,
20220401,01,1,2,26,1,74,1,0,0,0,9,84,
20220401,01,1,2,43,1,247,30,6,17,19,11,330,
20220401,02,0,1,00,0,998,60,119,458,103,9,1747,
20220401,02,0,1,00,1,331,21,19,33,18,24,446,
20220401,02,0,1,01,0,8,4,1,12,4,0,29,
20220401,02,0,1,45,0,3,0,0,3,3,0,9,
20220401,02,0,1,02,0,19,2,1,7,0,0,29,
20220401,02,0,1,18,0,22,3,4,14,6,0,49,
20220401,02,0,1,34,0,13,1,0,6,0,0,20,
