일자,시군구,승객수,통행량,대중교통이용객비율,자차이용객비율
20220101,강남구,184842,419771,30,70
20220101,강동구,75166,126770,37,63
20220101,강서구,134145,255631,34,66
20220101,관악구,176622,52742,77,23
20220101,광진구,119029,92158,56,44
20220101,구로구,90473,88231,50,50
20220101,금천구,57802,353832,14,86
20220101,노원구,110313,358693,23,77
20220101,도봉구,69357,34520,66,34
20220101,동대문구,88655,123757,41,59
20220101,마포구,163361,555114,22,78
20220101,서대문구,86538,83723,50,50
20220101,서초구,152839,599700,20,80
20220101,성동구,87253,273174,24,76
20220101,성북구,104906,265159,28,72
20220101,송파구,176740,220350,44,56
20220101,양천구,78312,295439,20,80
20220101,영등포구,139075,298842,31,69
20220101,용산구,92089,441015,17,83
20220101,은평구,114584,225838,33,67
20220101,종로구,149778,111270,57,43
20220101,중구,144782,140986,50,50
20220101,중랑구,75948,80970,48,52
20220102,강남구,220097,424594,34,66
20220102,강동구,88784,203035,30,70
20220102,강서구,149226,244797,37,63
20220102,관악구,192910,54427,77,23
20220102,광진구,129922,93838,58,42
20220102,구로구,98199,86400,53,47
20220102,금천구,60169,328122,15,85
20220102,노원구,123743,344546,26,74
20220102,도봉구,77532,33954,69,31
20220102,동대문구,104097,120110,46,54
20220102,마포구,178028,529019,25,75
20220102,서대문구,97071,80791,54,46
20220102,서초구,206798,594465,25,75
20220102,성동구,98284,271750,26,74
20220102,성북구,119068,249917,32,68
20220102,송파구,200577,222763,47,53
20220102,양천구,90057,268505,25,75
20220102,영등포구,162305,301771,34,66
20220102,용산구,104248,428103,19,81
20220102,은평구,122387,188878,39,61
20220102,종로구,161759,106322,60,40
20220102,중구,170317,141714,54,46
20220102,중랑구,84440,77577,52,48
20220103,강남구,635674,585575,52,48
20220103,강동구,170136,249787,40,60
20220103,강서구,291574,324712,47,53
20220103,관악구,337613,75586,81,19
20220103,광진구,218964,138829,61,39
20220103,구로구,218310,107885,66,34
20220103,금천구,152619,444004,25,75
20220103,노원구,228562,407542,35,65
20220103,도봉구,135169,47181,74,26
20220103,동대문구,185500,125739,59,41
20220103,마포구,321638,653078,32,68
20220103,서대문구,196404,94262,67,33
20220103,서초구,440823,728546,37,63
20220103,성동구,220324,362681,37,63
20220103,성북구,217525,301142,41,59
20220103,송파구,385057,280803,57,43
20220103,양천구,180762,346618,34,66
20220103,영등포구,367732,446126,45,55
20220103,용산구,163856,524384,23,77
20220103,은평구,223827,233168,48,52
20220103,종로구,325177,147919,68,32
20220103,중구,383263,221834,63,37
20220103,중랑구,158890,102261,60,40
20220104,강남구,662062,574743,53,47
20220104,강동구,175092,257370,40,60
20220104,강서구,298222,338478,46,54
20220104,관악구,347094,79784,81,19
20220104,광진구,226829,145931,60,40
20220104,구로구,222446,110350,66,34
20220104,금천구,155293,459006,25,75
20220104,노원구,234928,418418,35,65
20220104,도봉구,138408,48420,74,26
20220104,동대문구,191215,129134,59,41
20220104,마포구,335774,676794,33,67
20220104,서대문구,202179,96555,67,33
20220104,서초구,456411,744340,38,62
20220104,성동구,227372,393414,36,64
20220104,성북구,224499,308019,42,58
20220104,송파구,398642,292892,57,43
20220104,양천구,185789,359794,34,66
20220104,영등포구,375212,533191,41,59
20220104,용산구,171268,549404,23,77
20220104,은평구,229627,279177,45,55
20220104,종로구,345255,156697,68,32
20220104,중구,400696,236637,62,38
20220104,중랑구,162069,103595,61,39
20220105,강남구,665148,562992,54,46
20220105,강동구,177579,255728,40,60
20220105,강서구,299347,336652,47,53
20220105,관악구,351296,79675,81,19
20220105,광진구,227880,146829,60,40
20220105,구로구,221104,110240,66,34
20220105,금천구,153517,461759,24,76
20220105,노원구,236213,414710,36,64
20220105,도봉구,138827,48103,74,26
20220105,동대문구,191305,129626,59,41
20220105,마포구,339231,673072,33,67
20220105,서대문구,201744,97169,67,33
20220105,서초구,459693,747681,38,62
20220105,성동구,229695,394902,36,64
20220105,성북구,226400,305365,42,58
20220105,송파구,398612,292450,57,43
20220105,양천구,185937,395277,31,69
20220105,영등포구,377908,570955,39,61
20220105,용산구,176146,550579,24,76
20220105,은평구,230869,295889,43,57
20220105,종로구,349254,158273,68,32
20220105,중구,403650,238636,62,38
20220105,중랑구,163711,102880,61,39
20220106,강남구,671265,543775,55,45
20220106,강동구,176964,266276,39,61
20220106,강서구,301596,316478,48,52
20220106,관악구,353883,81842,81,19
20220106,광진구,229637,150902,60,40
20220106,구로구,222650,110264,66,34
20220106,금천구,154203,454042,25,75
20220106,노원구,236859,399503,37,63
20220106,도봉구,139630,48513,74,26
20220106,동대문구,194719,131274,59,41
20220106,마포구,343361,633802,35,65
20220106,서대문구,205893,98122,67,33
20220106,서초구,463965,718331,39,61
20220106,성동구,232006,387746,37,63
20220106,성북구,226331,278480,44,56
20220106,송파구,404236,301972,57,43
20220106,양천구,185920,390005,32,68
20220106,영등포구,380044,566719,40,60
20220106,용산구,176946,543901,24,76
20220106,은평구,231523,295744,43,57
20220106,종로구,355000,160010,68,32
20220106,중구,410102,241018,62,38
20220106,중랑구,163486,94882,63,37
20220107,강남구,685778,579325,54,46
20220107,강동구,182608,327491,35,65
20220107,강서구,306641,352327,46,54
20220107,관악구,364170,81191,81,19
20220107,광진구,239048,149844,61,39
20220107,구로구,226353,115357,66,34
20220107,금천구,154925,481409,24,76
20220107,노원구,243014,437492,35,65
20220107,도봉구,143052,49762,74,26
20220107,동대문구,201413,132865,60,40
20220107,마포구,359338,699542,33,67
20220107,서대문구,206591,101005,67,33
20220107,서초구,486141,763485,38,62
20220107,성동구,236359,405854,36,64
20220107,성북구,231220,318926,42,58
20220107,송파구,416215,307015,57,43
20220107,양천구,189697,404900,31,69
20220107,영등포구,386415,590914,39,61
20220107,용산구,184993,570050,24,76
20220107,은평구,235876,301965,43,57
20220107,종로구,359480,164147,68,32
20220107,중구,419547,244903,63,37
20220107,중랑구,167876,106787,61,39
20220108,강남구,402182,519427,43,57
20220108,강동구,127257,296217,30,70
20220108,강서구,211805,311975,40,60
20220108,관악구,280762,75849,78,22
20220108,광진구,187438,130492,58,42
20220108,구로구,147879,107221,57,43
20220108,금천구,86666,425358,16,84
20220108,노원구,176141,415189,29,71
20220108,도봉구,106942,44752,70,30
20220108,동대문구,154400,137087,52,48
20220108,마포구,270834,641182,29,71
20220108,서대문구,142643,97881,59,41
20220108,서초구,317737,699065,31,69
20220108,성동구,154368,362651,29,71
20220108,성북구,169051,294502,36,64
20220108,송파구,291625,271260,51,49
20220108,양천구,131336,369572,26,74
20220108,영등포구,232191,492007,32,68
20220108,용산구,145193,534284,21,79
20220108,은평구,174623,278486,38,62
20220108,종로구,260188,144706,64,36
20220108,중구,257132,204710,55,45
20220108,중랑구,123792,97582,55,45
20220109,강남구,249980,437636,36,64
20220109,강동구,91053,232967,28,72
20220109,강서구,153461,263141,36,64
20220109,관악구,210600,60798,77,23
20220109,광진구,135375,102972,56,44
20220109,구로구,104990,90714,53,47
20220109,금천구,61799,344346,15,85
20220109,노원구,127260,361759,26,74
20220109,도봉구,80157,35503,69,31
20220109,동대문구,114558,128288,47,53
20220109,마포구,197369,559204,26,74
20220109,서대문구,103446,84894,54,46
20220109,서초구,218469,634993,25,75
20220109,성동구,106301,296015,26,74
20220109,성북구,125154,255900,32,68
20220109,송파구,209911,233034,47,53
20220109,양천구,93396,315800,22,78
20220109,영등포구,173900,389359,30,70
20220109,용산구,108374,469476,18,82
20220109,은평구,126471,237885,34,66
20220109,종로구,180545,117241,60,40
20220109,중구,176561,157662,52,48
20220109,중랑구,86579,84357,50,50
20220112,강남구,670762,439684,60,40
20220112,강동구,176148,176660,49,51
20220112,강서구,297603,227009,56,44
20220112,관악구,351411,79933,81,19
20220112,광진구,226930,144720,61,39
20220112,구로구,220046,90107,70,30
20220112,금천구,154096,413792,27,73
20220112,노원구,234757,354619,39,61
20220112,도봉구,137039,47859,74,26
20220112,동대문구,187210,129968,59,41
20220112,마포구,342324,673628,33,67
20220112,서대문구,201876,97398,67,33
20220112,서초구,467316,530458,46,54
20220112,성동구,230841,350603,39,61
20220112,성북구,224000,310107,41,59
20220112,송파구,402759,223940,64,36
20220112,양천구,183758,278813,39,61
20220112,영등포구,378801,505481,42,58
20220112,용산구,175702,505979,25,75
20220112,은평구,226052,240769,48,52
20220112,종로구,346484,159671,68,32
20220112,중구,406298,242309,62,38
20220112,중랑구,161441,103808,60,40
20220113,강남구,673333,572593,54,46
20220113,강동구,175677,317510,35,65
20220113,강서구,299931,305112,49,51
20220113,관악구,353918,80666,81,19
20220113,광진구,229358,147001,60,40
20220113,구로구,221115,89824,71,29
20220113,금천구,155833,468854,24,76
20220113,노원구,234164,401861,36,64
20220113,도봉구,138136,49005,73,27
20220113,동대문구,191675,129202,59,41
20220113,마포구,348038,687336,33,67
20220113,서대문구,203953,97495,67,33
20220113,서초구,471621,759654,38,62
