행정구,승객수,기준_날짜,시군구
11010,149784,20220101,종로구
11010,161765,20220102,종로구
11010,325182,20220103,종로구
11010,345258,20220104,종로구
11010,349257,20220105,종로구
11010,355003,20220106,종로구
11010,359483,20220107,종로구
11010,260191,20220108,종로구
11010,180550,20220109,종로구
11010,346488,20220112,종로구
11010,349508,20220113,종로구
11010,354557,20220114,종로구
11010,259832,20220115,종로구
11010,187250,20220116,종로구
11010,346269,20220117,종로구
11010,352951,20220118,종로구
11010,363441,20220119,종로구
11010,364479,20220120,종로구
11010,371243,20220121,종로구
11010,269251,20220122,종로구
11010,192905,20220123,종로구
11010,351021,20220124,종로구
11010,354491,20220125,종로구
11010,371571,20220126,종로구
11010,358708,20220127,종로구
11010,347889,20220128,종로구
11010,213912,20220129,종로구
11010,159499,20220130,종로구
11010,119444,20220131,종로구
11010,95115,20220201,종로구
11010,142005,20220202,종로구
11010,307467,20220203,종로구
11010,331423,20220204,종로구
11010,221126,20220205,종로구
11010,155517,20220206,종로구
11010,331337,20220207,종로구
11010,342528,20220208,종로구
11010,346679,20220209,종로구
11010,343181,20220210,종로구
11010,347615,20220211,종로구
11010,250886,20220212,종로구
11010,179486,20220213,종로구
11010,329057,20220214,종로구
11010,334765,20220215,종로구
11010,326187,20220216,종로구
11010,323427,20220217,종로구
11010,327940,20220224,종로구
11010,339330,20220225,종로구
11010,229024,20220226,종로구
11010,185382,20220227,종로구
11010,323190,20220228,종로구
11010,219063,20220301,종로구
11010,336467,20220302,종로구
11010,338037,20220303,종로구
11010,333551,20220304,종로구
11010,246825,20220305,종로구
11010,170900,20220306,종로구
11010,325944,20220307,종로구
11010,353187,20220308,종로구
11010,220219,20220309,종로구
11010,328384,20220310,종로구
11010,339072,20220311,종로구
11010,249704,20220312,종로구
11010,143513,20220313,종로구
11010,332889,20220315,종로구
11010,334795,20220316,종로구
11010,326271,20220317,종로구
11010,328497,20220318,종로구
11010,208190,20220319,종로구
11010,179603,20220320,종로구
11010,323512,20220321,종로구
11010,336622,20220322,종로구
11010,335436,20220323,종로구
11010,337526,20220324,종로구
11010,345329,20220325,종로구
11010,240053,20220326,종로구
11010,200424,20220327,종로구
11010,337059,20220328,종로구
11010,351157,20220329,종로구
11010,342946,20220330,종로구
11010,351050,20220331,종로구
11010,369163,20220401,종로구
11010,292773,20220402,종로구
11010,214776,20220403,종로구
11010,347298,20220404,종로구
11010,363843,20220405,종로구
11010,371766,20220406,종로구
11010,372177,20220407,종로구
11010,385183,20220408,종로구
11010,310143,20220409,종로구
11010,233312,20220410,종로구
11010,362274,20220411,종로구
11010,372428,20220412,종로구
11010,368386,20220413,종로구
11010,373231,20220414,종로구
11010,390966,20220415,종로구
11010,307166,20220416,종로구
11010,224126,20220417,종로구
11010,365392,20220418,종로구
11010,384503,20220419,종로구
11010,392384,20220420,종로구
11010,390350,20220421,종로구
11010,383286,20220422,종로구
11010,315727,20220423,종로구
11010,221042,20220424,종로구
11010,370195,20220425,종로구
11010,38578,20220426,종로구
11010,410430,20220427,종로구
11010,411768,20220428,종로구
11010,418368,20220429,종로구
11010,357632,20220430,종로구
11020,144786,20220101,중구
11020,170320,20220102,중구
11020,383265,20220103,중구
11020,400699,20220104,중구
11020,403655,20220105,중구
11020,410105,20220106,중구
11020,419550,20220107,중구
11020,257135,20220108,중구
11020,176564,20220109,중구
11020,406300,20220112,중구
11020,409308,20220113,중구
11020,421155,20220114,중구
11020,258473,20220115,중구
11020,184114,20220116,중구
11020,404630,20220117,중구
11020,413324,20220118,중구
11020,425037,20220119,중구
11020,424069,20220120,중구
11020,432938,20220121,중구
11020,260401,20220122,중구
11020,180935,20220123,중구
11020,408361,20220124,중구
11020,415443,20220125,중구
11020,423307,20220126,중구
11020,415954,20220127,중구
11020,394129,20220128,중구
11020,200515,20220129,중구
11020,146774,20220130,중구
11020,111778,20220131,중구
11020,89670,20220201,중구
11020,130089,20220202,중구
11020,356400,20220203,중구
11020,381321,20220204,중구
11020,211844,20220205,중구
11020,150397,20220206,중구
11020,382697,20220207,중구
11020,390066,20220208,중구
11020,394051,20220209,중구
11020,393071,20220210,중구
11020,401401,20220211,중구
11020,239293,20220212,중구
11020,167495,20220213,중구
11020,383844,20220214,중구
11020,384543,20220215,중구
11020,378413,20220216,중구
11020,376756,20220217,중구
11020,378002,20220224,중구
