일자,승객수,읍면동,행정동코드,시군구,행정구코드
20220101,20524,사직동,1101053,종로구,11010
20220102,21701,사직동,1101053,종로구,11010
20220103,54331,사직동,1101053,종로구,11010
20220104,57510,사직동,1101053,종로구,11010
20220105,58347,사직동,1101053,종로구,11010
20220106,60326,사직동,1101053,종로구,11010
20220107,59549,사직동,1101053,종로구,11010
20220108,34304,사직동,1101053,종로구,11010
20220109,24795,사직동,1101053,종로구,11010
20220112,59101,사직동,1101053,종로구,11010
20220113,59514,사직동,1101053,종로구,11010
20220114,58737,사직동,1101053,종로구,11010
20220115,34637,사직동,1101053,종로구,11010
20220116,26486,사직동,1101053,종로구,11010
20220117,57882,사직동,1101053,종로구,11010
20220118,59706,사직동,1101053,종로구,11010
20220119,62765,사직동,1101053,종로구,11010
20220120,61402,사직동,1101053,종로구,11010
20220121,60573,사직동,1101053,종로구,11010
20220122,35402,사직동,1101053,종로구,11010
20220123,26189,사직동,1101053,종로구,11010
20220124,58839,사직동,1101053,종로구,11010
20220125,60192,사직동,1101053,종로구,11010
20220126,61846,사직동,1101053,종로구,11010
20220127,59617,사직동,1101053,종로구,11010
20220128,56259,사직동,1101053,종로구,11010
20220129,27479,사직동,1101053,종로구,11010
20220130,21870,사직동,1101053,종로구,11010
20220131,16977,사직동,1101053,종로구,11010
20220201,14908,사직동,1101053,종로구,11010
20220202,22103,사직동,1101053,종로구,11010
20220203,51827,사직동,1101053,종로구,11010
20220204,55021,사직동,1101053,종로구,11010
20220205,29357,사직동,1101053,종로구,11010
20220206,21602,사직동,1101053,종로구,11010
20220207,54775,사직동,1101053,종로구,11010
20220208,56909,사직동,1101053,종로구,11010
20220209,57095,사직동,1101053,종로구,11010
20220210,56600,사직동,1101053,종로구,11010
20220211,57243,사직동,1101053,종로구,11010
20220212,32331,사직동,1101053,종로구,11010
20220213,24401,사직동,1101053,종로구,11010
20220214,54065,사직동,1101053,종로구,11010
20220215,56104,사직동,1101053,종로구,11010
20220216,55207,사직동,1101053,종로구,11010
20220217,54573,사직동,1101053,종로구,11010
20220224,54295,사직동,1101053,종로구,11010
20220225,54726,사직동,1101053,종로구,11010
20220226,30131,사직동,1101053,종로구,11010
20220227,27209,사직동,1101053,종로구,11010
20220228,50599,사직동,1101053,종로구,11010
20220301,35771,사직동,1101053,종로구,11010
20220302,55573,사직동,1101053,종로구,11010
20220303,56177,사직동,1101053,종로구,11010
20220304,54236,사직동,1101053,종로구,11010
20220305,37217,사직동,1101053,종로구,11010
20220306,23783,사직동,1101053,종로구,11010
20220307,53293,사직동,1101053,종로구,11010
20220308,61726,사직동,1101053,종로구,11010
20220309,29252,사직동,1101053,종로구,11010
20220310,53946,사직동,1101053,종로구,11010
20220311,53332,사직동,1101053,종로구,11010
20220312,35298,사직동,1101053,종로구,11010
20220313,19659,사직동,1101053,종로구,11010
20220315,53396,사직동,1101053,종로구,11010
20220316,54117,사직동,1101053,종로구,11010
20220317,52702,사직동,1101053,종로구,11010
20220318,52036,사직동,1101053,종로구,11010
20220319,26708,사직동,1101053,종로구,11010
20220320,24437,사직동,1101053,종로구,11010
20220321,52886,사직동,1101053,종로구,11010
20220322,55035,사직동,1101053,종로구,11010
20220323,55568,사직동,1101053,종로구,11010
20220324,56197,사직동,1101053,종로구,11010
20220325,54803,사직동,1101053,종로구,11010
20220326,32715,사직동,1101053,종로구,11010
20220327,28498,사직동,1101053,종로구,11010
20220328,55254,사직동,1101053,종로구,11010
20220329,58696,사직동,1101053,종로구,11010
20220330,57039,사직동,1101053,종로구,11010
20220331,57917,사직동,1101053,종로구,11010
20220401,60589,사직동,1101053,종로구,11010
20220402,44140,사직동,1101053,종로구,11010
20220403,32429,사직동,1101053,종로구,11010
20220404,57298,사직동,1101053,종로구,11010
20220405,59232,사직동,1101053,종로구,11010
20220406,62865,사직동,1101053,종로구,11010
20220407,62994,사직동,1101053,종로구,11010
20220408,63299,사직동,1101053,종로구,11010
20220409,48192,사직동,1101053,종로구,11010
20220410,37033,사직동,1101053,종로구,11010
20220411,61071,사직동,1101053,종로구,11010
20220412,61842,사직동,1101053,종로구,11010
20220413,62585,사직동,1101053,종로구,11010
20220414,64075,사직동,1101053,종로구,11010
20220415,64380,사직동,1101053,종로구,11010
20220416,44017,사직동,1101053,종로구,11010
20220417,33173,사직동,1101053,종로구,11010
20220418,60956,사직동,1101053,종로구,11010
