,법정동코드,법정동명,폐지여부,법정동,법정구,법정구코드
0,1100000000,서울특별시,존재,,,
1,1111000000,서울특별시 종로구,존재,,,
2,1111010100,서울특별시 종로구 청운동,존재,청운동,종로구,1111000000
3,1111010200,서울특별시 종로구 신교동,존재,신교동,종로구,1111000000
4,1111010300,서울특별시 종로구 궁정동,존재,궁정동,종로구,1111000000
5,1111010400,서울특별시 종로구 효자동,존재,효자동,종로구,1111000000
6,1111010500,서울특별시 종로구 창성동,존재,창성동,종로구,1111000000
7,1111010600,서울특별시 종로구 통의동,존재,통의동,종로구,1111000000
8,1111010700,서울특별시 종로구 적선동,존재,적선동,종로구,1111000000
9,1111010800,서울특별시 종로구 통인동,존재,통인동,종로구,1111000000
10,1111010900,서울특별시 종로구 누상동,존재,누상동,종로구,1111000000
11,1111011000,서울특별시 종로구 누하동,존재,누하동,종로구,1111000000
12,1111011100,서울특별시 종로구 옥인동,존재,옥인동,종로구,1111000000
13,1111011200,서울특별시 종로구 체부동,존재,체부동,종로구,1111000000
14,1111011300,서울특별시 종로구 필운동,존재,필운동,종로구,1111000000
15,1111011400,서울특별시 종로구 내자동,존재,내자동,종로구,1111000000
16,1111011500,서울특별시 종로구 사직동,존재,사직동,종로구,1111000000
17,1111011600,서울특별시 종로구 도렴동,존재,도렴동,종로구,1111000000
18,1111011700,서울특별시 종로구 당주동,존재,당주동,종로구,1111000000
19,1111011800,서울특별시 종로구 내수동,존재,내수동,종로구,1111000000
20,1111011900,서울특별시 종로구 세종로,존재,세종로,종로구,1111000000
21,1111012000,서울특별시 종로구 신문로1가,존재,신문로1가,종로구,1111000000
22,1111012100,서울특별시 종로구 신문로2가,존재,신문로2가,종로구,1111000000
23,1111012200,서울특별시 종로구 청진동,존재,청진동,종로구,1111000000
24,1111012300,서울특별시 종로구 서린동,존재,서린동,종로구,1111000000
25,1111012400,서울특별시 종로구 수송동,존재,수송동,종로구,1111000000
26,1111012500,서울특별시 종로구 중학동,존재,중학동,종로구,1111000000
27,1111012600,서울특별시 종로구 종로1가,존재,종로1가,종로구,1111000000
28,1111012700,서울특별시 종로구 공평동,존재,공평동,종로구,1111000000
29,1111012800,서울특별시 종로구 관훈동,존재,관훈동,종로구,1111000000
30,1111012900,서울특별시 종로구 견지동,존재,견지동,종로구,1111000000
31,1111013000,서울특별시 종로구 와룡동,존재,와룡동,종로구,1111000000
32,1111013100,서울특별시 종로구 권농동,존재,권농동,종로구,1111000000
33,1111013200,서울특별시 종로구 운니동,존재,운니동,종로구,1111000000
34,1111013300,서울특별시 종로구 익선동,존재,익선동,종로구,1111000000
35,1111013400,서울특별시 종로구 경운동,존재,경운동,종로구,1111000000
36,1111013500,서울특별시 종로구 관철동,존재,관철동,종로구,1111000000
37,1111013600,서울특별시 종로구 인사동,존재,인사동,종로구,1111000000
38,1111013700,서울특별시 종로구 낙원동,존재,낙원동,종로구,1111000000
39,1111013800,서울특별시 종로구 종로2가,존재,종로2가,종로구,1111000000
40,1111013900,서울특별시 종로구 팔판동,존재,팔판동,종로구,1111000000
