일자,요일,지점명,지점번호,방향,통행량
20220101,일,성산로(금화터널),A-01,유입,0
20220102,일,성산로(금화터널),A-01,유입,0
20220103,월,성산로(금화터널),A-01,유입,0
20220104,화,성산로(금화터널),A-01,유입,0
20220105,수,성산로(금화터널),A-01,유입,0
20220106,목,성산로(금화터널),A-01,유입,0
20220107,금,성산로(금화터널),A-01,유입,0
20220108,토,성산로(금화터널),A-01,유입,0
20220109,일,성산로(금화터널),A-01,유입,0
20220110,월,성산로(금화터널),A-01,유입,0
20220111,화,성산로(금화터널),A-01,유입,0
20220112,수,성산로(금화터널),A-01,유입,0
20220113,목,성산로(금화터널),A-01,유입,0
20220114,금,성산로(금화터널),A-01,유입,0
20220115,토,성산로(금화터널),A-01,유입,0
20220116,일,성산로(금화터널),A-01,유입,0
20220117,월,성산로(금화터널),A-01,유입,0
20220118,화,성산로(금화터널),A-01,유입,0
20220119,수,성산로(금화터널),A-01,유입,0
20220120,목,성산로(금화터널),A-01,유입,0
20220121,금,성산로(금화터널),A-01,유입,0
20220122,토,성산로(금화터널),A-01,유입,0
20220123,일,성산로(금화터널),A-01,유입,0
20220124,월,성산로(금화터널),A-01,유입,0
20220125,화,성산로(금화터널),A-01,유입,0
20220126,수,성산로(금화터널),A-01,유입,0
20220127,목,성산로(금화터널),A-01,유입,0
20220128,금,성산로(금화터널),A-01,유입,0
20220129,토,성산로(금화터널),A-01,유입,0
20220130,일,성산로(금화터널),A-01,유입,0
20220131,일,성산로(금화터널),A-01,유입,0
20220101,일,성산로(금화터널),A-01,유출,0
20220102,일,성산로(금화터널),A-01,유출,0
20220103,월,성산로(금화터널),A-01,유출,0
20220104,화,성산로(금화터널),A-01,유출,0
20220105,수,성산로(금화터널),A-01,유출,0
20220106,목,성산로(금화터널),A-01,유출,0
20220107,금,성산로(금화터널),A-01,유출,0
20220108,토,성산로(금화터널),A-01,유출,0
20220109,일,성산로(금화터널),A-01,유출,0
20220110,월,성산로(금화터널),A-01,유출,0
20220111,화,성산로(금화터널),A-01,유출,0
20220112,수,성산로(금화터널),A-01,유출,0
20220113,목,성산로(금화터널),A-01,유출,0
20220114,금,성산로(금화터널),A-01,유출,0
20220115,토,성산로(금화터널),A-01,유출,0
20220116,일,성산로(금화터널),A-01,유출,0
20220117,월,성산로(금화터널),A-01,유출,0
20220118,화,성산로(금화터널),A-01,유출,0
20220119,수,성산로(금화터널),A-01,유출,0
20220120,목,성산로(금화터널),A-01,유출,0
20220121,금,성산로(금화터널),A-01,유출,0
20220122,토,성산로(금화터널),A-01,유출,0
20220123,일,성산로(금화터널),A-01,유출,0
20220124,월,성산로(금화터널),A-01,유출,0
20220125,화,성산로(금화터널),A-01,유출,0
20220126,수,성산로(금화터널),A-01,유출,0
20220127,목,성산로(금화터널),A-01,유출,0
20220128,금,성산로(금화터널),A-01,유출,0
20220129,토,성산로(금화터널),A-01,유출,0
20220130,일,성산로(금화터널),A-01,유출,0
20220131,일,성산로(금화터널),A-01,유출,0
20220101,일,사직로(사직터널),A-02,유입,43344
20220102,일,사직로(사직터널),A-02,유입,43118
20220103,월,사직로(사직터널),A-02,유입,67192
20220104,화,사직로(사직터널),A-02,유입,69638
20220105,수,사직로(사직터널),A-02,유입,70632
20220106,목,사직로(사직터널),A-02,유입,71408
20220107,금,사직로(사직터널),A-02,유입,72746
20220108,토,사직로(사직터널),A-02,유입,60072
20220109,일,사직로(사직터널),A-02,유입,48042
20220110,월,사직로(사직터널),A-02,유입,69352
20220111,화,사직로(사직터널),A-02,유입,70304
20220112,수,사직로(사직터널),A-02,유입,71966
20220113,목,사직로(사직터널),A-02,유입,72918
20220114,금,사직로(사직터널),A-02,유입,73912
20220115,토,사직로(사직터널),A-02,유입,58026
20220116,일,사직로(사직터널),A-02,유입,49078
20220117,월,사직로(사직터널),A-02,유입,68380
20220118,화,사직로(사직터널),A-02,유입,71902
20220119,수,사직로(사직터널),A-02,유입,61694
20220120,목,사직로(사직터널),A-02,유입,71656
20220121,금,사직로(사직터널),A-02,유입,75362
20220122,토,사직로(사직터널),A-02,유입,61488
20220123,일,사직로(사직터널),A-02,유입,50852
20220124,월,사직로(사직터널),A-02,유입,71792
20220125,화,사직로(사직터널),A-02,유입,73102
20220126,수,사직로(사직터널),A-02,유입,76184
20220127,목,사직로(사직터널),A-02,유입,75714
20220128,금,사직로(사직터널),A-02,유입,73358
20220129,토,사직로(사직터널),A-02,유입,54744
20220130,일,사직로(사직터널),A-02,유입,46554
20220131,일,사직로(사직터널),A-02,유입,39640
20220101,일,사직로(사직터널),A-02,유출,43634
20220102,일,사직로(사직터널),A-02,유출,41966
20220103,월,사직로(사직터널),A-02,유출,58108
20220104,화,사직로(사직터널),A-02,유출,61024
20220105,수,사직로(사직터널),A-02,유출,62062
20220106,목,사직로(사직터널),A-02,유출,59848
20220107,금,사직로(사직터널),A-02,유출,63538
20220108,토,사직로(사직터널),A-02,유출,54886
20220109,일,사직로(사직터널),A-02,유출,45746
20220110,월,사직로(사직터널),A-02,유출,60574
20220111,화,사직로(사직터널),A-02,유출,62176
20220112,수,사직로(사직터널),A-02,유출,62690
20220113,목,사직로(사직터널),A-02,유출,61988
20220114,금,사직로(사직터널),A-02,유출,62912
20220115,토,사직로(사직터널),A-02,유출,53678
20220116,일,사직로(사직터널),A-02,유출,46662
20220117,월,사직로(사직터널),A-02,유출,60034
20220118,화,사직로(사직터널),A-02,유출,61108
20220119,수,사직로(사직터널),A-02,유출,55608
20220120,목,사직로(사직터널),A-02,유출,61764
20220121,금,사직로(사직터널),A-02,유출,63890
20220122,토,사직로(사직터널),A-02,유출,56316
20220123,일,사직로(사직터널),A-02,유출,48042
20220124,월,사직로(사직터널),A-02,유출,61944
20220125,화,사직로(사직터널),A-02,유출,63696
20220126,수,사직로(사직터널),A-02,유출,63418
20220127,목,사직로(사직터널),A-02,유출,62894
20220128,금,사직로(사직터널),A-02,유출,61120
20220129,토,사직로(사직터널),A-02,유출,49730
20220130,일,사직로(사직터널),A-02,유출,42474
20220131,일,사직로(사직터널),A-02,유출,36626
20220101,일,자하문로(자하문터널),A-03,유입,14978
20220102,일,자하문로(자하문터널),A-03,유입,15476
20220103,월,자하문로(자하문터널),A-03,유입,26508
20220104,화,자하문로(자하문터널),A-03,유입,27654
20220105,수,자하문로(자하문터널),A-03,유입,28076
20220106,목,자하문로(자하문터널),A-03,유입,28376
20220107,금,자하문로(자하문터널),A-03,유입,28560
20220108,토,자하문로(자하문터널),A-03,유입,21928
20220109,일,자하문로(자하문터널),A-03,유입,16474
20220110,월,자하문로(자하문터널),A-03,유입,27300
20220111,화,자하문로(자하문터널),A-03,유입,27402
20220112,수,자하문로(자하문터널),A-03,유입,27928
20220113,목,자하문로(자하문터널),A-03,유입,28740
20220114,금,자하문로(자하문터널),A-03,유입,28692
20220115,토,자하문로(자하문터널),A-03,유입,22180
20220116,일,자하문로(자하문터널),A-03,유입,17012
20220117,월,자하문로(자하문터널),A-03,유입,26296
20220118,화,자하문로(자하문터널),A-03,유입,27922
20220119,수,자하문로(자하문터널),A-03,유입,23512
20220120,목,자하문로(자하문터널),A-03,유입,28006
20220121,금,자하문로(자하문터널),A-03,유입,29162
20220122,토,자하문로(자하문터널),A-03,유입,22926
20220123,일,자하문로(자하문터널),A-03,유입,17498
20220124,월,자하문로(자하문터널),A-03,유입,27750
20220125,화,자하문로(자하문터널),A-03,유입,27530
20220126,수,자하문로(자하문터널),A-03,유입,28746
20220127,목,자하문로(자하문터널),A-03,유입,28796
20220128,금,자하문로(자하문터널),A-03,유입,27490
20220129,토,자하문로(자하문터널),A-03,유입,20192
20220130,일,자하문로(자하문터널),A-03,유입,15928
20220131,일,자하문로(자하문터널),A-03,유입,13236
20220101,일,자하문로(자하문터널),A-03,유출,14752
20220102,일,자하문로(자하문터널),A-03,유출,14206
20220103,월,자하문로(자하문터널),A-03,유출,24740
20220104,화,자하문로(자하문터널),A-03,유출,26228
20220105,수,자하문로(자하문터널),A-03,유출,26324
20220106,목,자하문로(자하문터널),A-03,유출,27292
20220107,금,자하문로(자하문터널),A-03,유출,28150
20220108,토,자하문로(자하문터널),A-03,유출,21046
20220109,일,자하문로(자하문터널),A-03,유출,15370
20220110,월,자하문로(자하문터널),A-03,유출,25202
20220111,화,자하문로(자하문터널),A-03,유출,26494
20220112,수,자하문로(자하문터널),A-03,유출,27324
20220113,목,자하문로(자하문터널),A-03,유출,27444
20220114,금,자하문로(자하문터널),A-03,유출,28318
20220115,토,자하문로(자하문터널),A-03,유출,20008
20220116,일,자하문로(자하문터널),A-03,유출,15970
20220117,월,자하문로(자하문터널),A-03,유출,25052
20220118,화,자하문로(자하문터널),A-03,유출,27390
20220119,수,자하문로(자하문터널),A-03,유출,21458
20220120,목,자하문로(자하문터널),A-03,유출,27438
20220121,금,자하문로(자하문터널),A-03,유출,29246
20220122,토,자하문로(자하문터널),A-03,유출,21186
20220123,일,자하문로(자하문터널),A-03,유출,16606
20220124,월,자하문로(자하문터널),A-03,유출,26636
20220125,화,자하문로(자하문터널),A-03,유출,27818
20220126,수,자하문로(자하문터널),A-03,유출,29512
20220127,목,자하문로(자하문터널),A-03,유출,28628
20220128,금,자하문로(자하문터널),A-03,유출,29482
20220129,토,자하문로(자하문터널),A-03,유출,19174
20220130,일,자하문로(자하문터널),A-03,유출,15162
20220131,일,자하문로(자하문터널),A-03,유출,13654
20220101,일,대사관로(삼청터널),A-04,유입,7816
20220102,일,대사관로(삼청터널),A-04,유입,6256
20220103,월,대사관로(삼청터널),A-04,유입,10998
20220104,화,대사관로(삼청터널),A-04,유입,11788
20220105,수,대사관로(삼청터널),A-04,유입,11622
20220106,목,대사관로(삼청터널),A-04,유입,11830
20220107,금,대사관로(삼청터널),A-04,유입,12194
20220108,토,대사관로(삼청터널),A-04,유입,9584
20220109,일,대사관로(삼청터널),A-04,유입,6620
20220110,월,대사관로(삼청터널),A-04,유입,11426
20220111,화,대사관로(삼청터널),A-04,유입,11158
20220112,수,대사관로(삼청터널),A-04,유입,11834
20220113,목,대사관로(삼청터널),A-04,유입,11962
20220114,금,대사관로(삼청터널),A-04,유입,12506
20220115,토,대사관로(삼청터널),A-04,유입,9550
20220116,일,대사관로(삼청터널),A-04,유입,7076
20220117,월,대사관로(삼청터널),A-04,유입,11164
20220118,화,대사관로(삼청터널),A-04,유입,11730
20220119,수,대사관로(삼청터널),A-04,유입,8990
20220120,목,대사관로(삼청터널),A-04,유입,11502
20220121,금,대사관로(삼청터널),A-04,유입,13166
20220122,토,대사관로(삼청터널),A-04,유입,10114
20220123,일,대사관로(삼청터널),A-04,유입,6936
20220124,월,대사관로(삼청터널),A-04,유입,12092
20220125,화,대사관로(삼청터널),A-04,유입,13330
20220126,수,대사관로(삼청터널),A-04,유입,12942
20220127,목,대사관로(삼청터널),A-04,유입,12900
20220128,금,대사관로(삼청터널),A-04,유입,12568
20220129,토,대사관로(삼청터널),A-04,유입,7832
20220130,일,대사관로(삼청터널),A-04,유입,6662
20220131,일,대사관로(삼청터널),A-04,유입,5732
20220101,일,대사관로(삼청터널),A-04,유출,7852
20220102,일,대사관로(삼청터널),A-04,유출,6676
20220103,월,대사관로(삼청터널),A-04,유출,10272
20220104,화,대사관로(삼청터널),A-04,유출,10948
20220105,수,대사관로(삼청터널),A-04,유출,11006
20220106,목,대사관로(삼청터널),A-04,유출,10530
20220107,금,대사관로(삼청터널),A-04,유출,11622
20220108,토,대사관로(삼청터널),A-04,유출,9064
20220109,일,대사관로(삼청터널),A-04,유출,7398
20220110,월,대사관로(삼청터널),A-04,유출,10686
20220111,화,대사관로(삼청터널),A-04,유출,10556
20220112,수,대사관로(삼청터널),A-04,유출,11570
20220113,목,대사관로(삼청터널),A-04,유출,11500
20220114,금,대사관로(삼청터널),A-04,유출,11482
20220115,토,대사관로(삼청터널),A-04,유출,9024
20220116,일,대사관로(삼청터널),A-04,유출,7634
20220117,월,대사관로(삼청터널),A-04,유출,10190
20220118,화,대사관로(삼청터널),A-04,유출,11142
20220119,수,대사관로(삼청터널),A-04,유출,7770
20220120,목,대사관로(삼청터널),A-04,유출,11118
20220121,금,대사관로(삼청터널),A-04,유출,11882
20220122,토,대사관로(삼청터널),A-04,유출,9440
20220123,일,대사관로(삼청터널),A-04,유출,8116
20220124,월,대사관로(삼청터널),A-04,유출,10978
20220125,화,대사관로(삼청터널),A-04,유출,11638
20220126,수,대사관로(삼청터널),A-04,유출,11956
20220127,목,대사관로(삼청터널),A-04,유출,12014
20220128,금,대사관로(삼청터널),A-04,유출,11176
20220129,토,대사관로(삼청터널),A-04,유출,8142
20220130,일,대사관로(삼청터널),A-04,유출,7254
20220131,일,대사관로(삼청터널),A-04,유출,6596
20220101,일,율곡로(안국역),A-05,유입,35744
20220102,일,율곡로(안국역),A-05,유입,36258
20220103,월,율곡로(안국역),A-05,유입,48014
20220104,화,율곡로(안국역),A-05,유입,50850
20220105,수,율곡로(안국역),A-05,유입,51840
20220106,목,율곡로(안국역),A-05,유입,52292
20220107,금,율곡로(안국역),A-05,유입,51808
20220108,토,율곡로(안국역),A-05,유입,46402
20220109,일,율곡로(안국역),A-05,유입,39266
20220110,월,율곡로(안국역),A-05,유입,49248
20220111,화,율곡로(안국역),A-05,유입,51082
20220112,수,율곡로(안국역),A-05,유입,52032
20220113,목,율곡로(안국역),A-05,유입,52436
20220114,금,율곡로(안국역),A-05,유입,51528
20220115,토,율곡로(안국역),A-05,유입,47266
20220116,일,율곡로(안국역),A-05,유입,39862
20220117,월,율곡로(안국역),A-05,유입,49894
20220118,화,율곡로(안국역),A-05,유입,29516
20220119,수,율곡로(안국역),A-05,유입,46408
20220120,목,율곡로(안국역),A-05,유입,14180
20220121,금,율곡로(안국역),A-05,유입,55378
20220122,토,율곡로(안국역),A-05,유입,47908
20220123,일,율곡로(안국역),A-05,유입,41284
20220124,월,율곡로(안국역),A-05,유입,51900
20220125,화,율곡로(안국역),A-05,유입,52648
20220126,수,율곡로(안국역),A-05,유입,52670
20220127,목,율곡로(안국역),A-05,유입,53476
20220128,금,율곡로(안국역),A-05,유입,51908
20220129,토,율곡로(안국역),A-05,유입,43696
20220130,일,율곡로(안국역),A-05,유입,37558
20220131,일,율곡로(안국역),A-05,유입,32644
20220101,일,율곡로(안국역),A-05,유출,0
20220102,일,율곡로(안국역),A-05,유출,0
20220103,월,율곡로(안국역),A-05,유출,0
20220104,화,율곡로(안국역),A-05,유출,0
20220105,수,율곡로(안국역),A-05,유출,0
20220106,목,율곡로(안국역),A-05,유출,0
20220107,금,율곡로(안국역),A-05,유출,0
20220108,토,율곡로(안국역),A-05,유출,0
20220109,일,율곡로(안국역),A-05,유출,0
20220110,월,율곡로(안국역),A-05,유출,0
20220111,화,율곡로(안국역),A-05,유출,0
20220112,수,율곡로(안국역),A-05,유출,0
20220113,목,율곡로(안국역),A-05,유출,0
20220114,금,율곡로(안국역),A-05,유출,0
