자치구 기준일,종로구,종로구 추가,중구,중구 추가,용산구,용산구 추가,성동구,성동구 추가,광진구,광진구 추가,동대문구,동대문구 추가,중랑구,중랑구 추가,성북구,성북구 추가,강북구,강북구 추가,도봉구,도봉구 추가,노원구,노원구 추가,은평구,은평구 추가,서대문구,서대문구 추가,마포구,마포구 추가,양천구,양천구 추가,강서구,강서구 추가,구로구,구로구 추가,금천구,금천구 추가,영등포구,영등포구 추가,동작구,동작구 추가,관악구,관악구 추가,서초구,서추구 추가,강남구,강남구 추가,송파구,송파구 추가,강동구,강동구 추가,기타,기타 추가
20220430,46744,74,42410,66,70764,117,102422,180,122621,211,121055,204,131277,245,149692,271,96644,178,106019,167,176248,289,155214,242,103472,192,127385,252,151260,276,194835,475,142782,238,81845,130,142050,228,137024,260,171215,273,135531,319,175255,378,225965,424,159151,311,212701,455
20220429,46670,101,42344,121,70647,175,102242,215,122410,251,120851,224,131032,276,149421,320,96466,231,105852,211,175959,367,154972,383,103280,219,127133,299,150984,349,194360,373,142544,273,81715,201,141822,261,136764,255,170942,407,135212,299,174877,472,225541,484,158840,412,212246,547
20220428,46569,99,42223,119,70472,153,102027,233,122159,301,120627,290,130756,326,149101,412,96235,239,105641,236,175593,474,154589,396,103061,248,126834,351,150635,401,193987,467,142271,347,81514,189,141561,391,136509,373,170535,458,134913,401,174405,486,225057,596,158428,465,211700,658
20220427,46471,143,42103,115,70319,249,101795,268,121858,377,120337,319,130430,402,148690,483,95996,282,105405,315,175120,561,154196,622,102813,303,126485,417,150234,487,193520,621,141927,476,81325,244,141170,488,136136,389,170077,573,134512,557,173919,666,224461,761,157963,493,211044,906
20220426,46328,178,41988,175,70070,314,101527,429,121481,450,120018,468,130028,530,148207,571,95714,330,105090,398,174559,790,153574,488,102510,395,126068,586,149747,501,192899,735,141451,558,81081,329,140682,559,135747,530,169504,668,133955,495,173253,641,223700,893,157470,665,210138,884
20220425,46150,55,41813,39,69757,83,101099,110,121031,157,119550,168,129499,149,147636,188,95384,108,104692,138,173769,247,153086,316,102115,136,125482,178,149247,236,192164,322,140893,141,80752,75,140125,161,135217,155,168836,222,133460,239,172613,314,222808,286,156805,250,209255,290
20220424,46095,107,41774,124,69674,232,100989,286,120874,340,119382,301,129350,358,147448,448,95276,272,104554,278,173522,549,152770,432,101979,303,125304,384,149011,500,191842,564,140752,517,80677,227,139964,411,135062,385,168614,560,133221,493,172299,559,222522,706,156555,538,208965,503
20220423,45988,137,41650,159,69442,275,100703,371,120534,437,119081,361,128992,427,147000,468,95004,272,104276,322,172973,581,152338,596,101676,378,124920,499,148511,586,191278,735,140235,529,80450,250,139553,476,134677,508,168054,583,132728,480,171740,639,221816,804,156017,532,208462,947
20220422,45851,170,41492,166,69167,278,100332,353,120097,453,118721,445,128565,456,146532,542,94732,343,103954,415,172392,708,151742,499,101298,411,124421,579,147926,590,190544,790,139706,533,80200,269,139078,505,134169,517,167471,647,132248,535,171101,660,221012,801,155485,587,207515,939
20220421,45677,183,41322,159,68872,315,99971,436,119638,542,118268,462,128104,543,145987,630,94382,368,103536,420,171680,739,151231,636,100878,481,123808,638,147309,711,189706,913,139122,581,79906,350,139208,603,133594,602,166778,822,131698,603,170432,767,220203,915,154894,669,206379,1104
20220420,45494,245,41163,182,68557,375,99535,511,119096,576,117808,549,127561,667,145357,817,94014,381,103116,524,170942,808,150598,932,100398,580,123170,694,146598,831,188793,1021,138541,825,79556,442,138605,805,132992,779,165956,924,131095,755,169665,902,219288,1142,154226,781,205275,1274
20220419,45249,245,40982,265,68182,455,99024,664,118521,722,117259,663,126898,761,144540,928,93634,661,102592,714,170134,1304,149666,813,99818,615,122477,889,145767,897,187774,1292,137717,851,79114,578,137806,887,132213,836,165032,1073,130340,773,168763,1090,218149,1476,153445,1086,204001,1281
20220418,45004,76,40717,43,67727,126,98360,153,117799,219,116596,246,126138,231,143612,252,92973,128,101878,225,168830,389,148853,450,99203,220,121588,302,144870,360,186484,532,136866,223,78536,121,136920,271,131377,284,163959,330,129567,489,167673,400,216673,559,152359,333,202720,383
20220417,44928,166,40674,137,67601,318,98207,390,117580,540,116350,481,125907,532,143360,620,92845,360,101653,458,168441,789,148403,768,98983,534,121286,554,144510,740,185952,875,136643,581,78415,334,136649,556,131093,602,163629,752,129078,548,167273,740,216114,924,152026,729,202337,777
