차종종별,연료,건수,비율,읍면동,행정동코드,시군구,행정구코드
승용,경유,36691,0.1680086001208035,여의동,1119054,영등포구,11190
승용,휘발유(무연),34512,0.1580309287664324,여의동,1119054,영등포구,11190
승용,휘발유,33805,0.15479356591763,여의동,1119054,영등포구,11190
승용,휘발유(무연),28889,0.132283133435717,역삼1동,1123064,강남구,11230
승용,휘발유(무연),28016,0.128285654274466,가양1동,1116064,강서구,11160
승용,휘발유,27969,0.1280704406197365,도곡1동,1123066,강남구,11230
승용,휘발유,27676,0.1267287895381254,역삼1동,1123064,강남구,11230
승용,휘발유(무연),26035,0.1192146276783168,진관동,1112071,은평구,11120
승용,휘발유(무연),25096,0.1149149335976584,가산동,1118051,금천구,11180
승용,휘발유(무연),24802,0.1135687035021169,양재1동,1122066,서초구,11220
승용,휘발유(무연),24502,0.1121949993229928,목5동,1115071,양천구,11150
승용,휘발유,24379,0.1116317806095519,한강로동,1103073,용산구,11030
승용,경유,24357,0.1115310423030828,가양1동,1116064,강서구,11160
승용,휘발유,24005,0.1099192293995773,역삼1동,1123064,강남구,11230
승용,휘발유(무연),23113,0.1058347489736484,신정1동,1115064,양천구,11150
승용,휘발유(무연),22913,0.1049189461875656,염창동,1116051,강서구,11160
승용,휘발유(무연),22913,0.1049189461875656,구로1동,1117052,구로구,11170
승용,휘발유,22165,0.1014938437676163,서초1동,1122051,서초구,11220
승용,경유,21035,0.09631955802624902,역삼1동,1123064,강남구,11230
승용,휘발유(무연),20983,0.0960814493018675,방화1동,1116070,강서구,11160
승용,휘발유,20641,0.09451542653766608,가양1동,1116064,강서구,11160
승용,휘발유,20616,0.09440095118940574,진관동,1112071,은평구,11120
승용,휘발유(무연),20544,0.09407126218641595,신도림동,1117051,구로구,11170
승용,경유,20491,0.09382857444810405,진관동,1112071,은평구,11120
승용,휘발유(무연),20349,0.09317835446998532,양재1동,1122066,서초구,11220
승용,휘발유(무연),20303,0.0929677198291863,오금동,1124060,송파구,11240
승용,휘발유(무연),19840,0.09084763637940482,문래동,1119076,영등포구,11190
승용,휘발유(무연),19826,0.09078353018437904,오류1동,1117067,구로구,11170
승용,휘발유,19781,0.09057747455751042,삼성동,1121082,관악구,11210
승용,휘발유,19772,0.0905362634321367,서초1동,1122051,서초구,11220
