일자,통행량,읍면동,행정동코드,시군구,행정구코드
20220101,175685,가산동,1118051,금천구,11180
20220101,55845,개봉동,1117064,구로구,11170
20220101,210029,방화동,1116070,강서구,11160
20220101,83705,고덕동,1125055,강동구,11250
20220101,92723,공릉동,1111056,노원구,11110
20220101,14951,공항동,1116069,강서구,11160
20220101,17109,광장동,1105063,광진구,11050
20220101,34696,구산동,1112057,은평구,11120
20220101,44195,논현동,1123052,강남구,11230
20220101,36704,당산동,1119055,영등포구,11190
20220101,24927,대림동,1119070,영등포구,11190
20220101,23697,도곡동,1123066,강남구,11230
20220101,34520,도봉동,1110064,도봉구,11100
20220101,58662,독산동,1118052,금천구,11180
20220101,40230,돈암동,1108058,성북구,11080
20220101,127330,망원동,1114069,마포구,11140
20220101,119928,반포동,1122056,서초구,11220
20220101,66981,방배동,1122061,서초구,11220
20220101,42013,삼성동,1121082,관악구,11210
20220101,155045,상계동,1111065,노원구,11110
20220101,328149,상암동,1114074,마포구,11140
20220101,33453,상일동,1125076,강동구,11250
20220101,255794,서초동,1122051,서초구,11220
20220101,7834,성북동,1108081,성북구,11080
20220101,53285,세곡동,1123076,강남구,11230
20220101,43736,송정동,1104069,성동구,11040
20220101,25423,송파동,1124061,송파구,11240
20220101,34493,수색동,1112068,은평구,11120
20220101,35733,숭인동,1101070,종로구,11010
20220101,119485,시흥동,1118057,금천구,11180
20220101,80970,신내동,1107069,중랑구,11070
20220101,36301,신당동,1102065,중구,11020
20220101,32386,신도림동,1117051,구로구,11170
20220101,10729,신림동,1121069,관악구,11210
20220101,126801,신사동,1112065,은평구,11120
20220101,255563,신월동,1115057,양천구,11150
20220101,39876,신정동,1115064,양천구,11150
20220101,0,신촌동,1113075,서대문구,11130
20220101,156997,양재동,1122066,서초구,11220
20220101,36622,양평동2가,1119061,영등포구,11190
20220101,116770,여의도동,1119054,영등포구,11190
20220101,31896,역삼동,1123064,강남구,11230
20220101,23353,연희동,1113076,서대문구,11130
